,ID,Headline,Valence,Anger,Disgust,Fear,Joy,Sadness,Surprise
68,568,Filipino woman kidnapped in Nigeria,-82,32,15,77,0,50,9
69,569,"Seahawks, Bears vie for shot at NFL title",31,0,0,8,32,0,5
70,570,Brown not buried as estate issues loom,-43,6,17,0,0,41,23
71,571,Will Rob Cohen Direct Third 'Mummy'?,32,0,0,0,32,0,35
72,572,EU will urge China to go green,26,8,0,5,34,3,12
73,573,17th-Century Remedy; 21st-Century Potency,16,0,0,0,0,0,14
74,574,Forecasters expect toasty 2007,-18,13,0,33,20,23,16
75,575,'Sunshine' Goydos wins Sony open,81,0,0,0,75,0,10
76,576,Teacher charged with sex assault,-88,52,87,18,0,23,25
77,577,Merck: Gardasil may fight more strains,-2,9,0,19,21,14,16
78,578,"Mountain glaciers melting faster, United Nations says",-52,15,10,49,0,41,12
79,579,Snow causes airport closures in Britain,-45,6,0,17,0,22,13
80,580,Bananaconda inventor is top poet of kids,62,0,0,0,63,0,24
81,581,Shareholders sue Apple,-52,49,0,0,0,14,15
82,582,Israelis retaliate after attack by Lebanese Army,-69,48,13,53,0,40,0
83,583,Deadly bird flu confirmed in British Turkeys,-72,2,1,70,0,36,24
84,584,Too little sleep may mean too fat kids,-51,0,12,7,0,21,57
85,585,Bathing mom awakes to find baby dead,-90,2,0,32,0,93,46
86,586,Visitors to Eiffel Tower climb to record in 2006,54,0,0,0,43,0,40
87,587,"More sleep, healthier slimmer children ",61,0,0,0,47,0,56
88,588,Queen battles Bond for Baftas,21,2,0,11,30,2,16
89,589,"Walters on Trump: 'Poor, pathetic man'",-44,23,25,0,0,28,12
90,590,"Ice storm smacks roads, power",-67,7,10,75,0,29,2
91,591,Iran says it will strike US interests if Attacked,-81,52,13,67,0,22,22
92,592,Palestinian factions to resume talks,43,0,0,0,41,2,26
93,593,Study: men's sweat triggers high sexual arousal in women,35,0,2,0,8,0,73
94,594,Outcry at N Korea 'nuclear test',-66,37,2,56,0,11,6
95,595,Russia plans major military build-up,-45,27,15,75,17,22,22
96,596,Archaeologists find remains of couple locked in a hug,52,0,0,0,43,16,79
97,597,Stenson defends his title at Dubai,44,0,0,0,45,0,8
98,598,Taking the plunge,-10,0,0,9,0,3,2
99,599,Updates on world's top stories,12,0,0,0,14,0,2
100,600,Man rides stationary bike for 85 hours,52,0,0,0,18,0,87
101,601,Ice storm coating Midwest,-58,14,2,51,0,25,23
102,602,A Mistrial for Lieut. Watada,-25,15,15,0,0,0,15
103,603,Iran warns will hit back at US if attacked,-74,58,13,59,0,23,10
104,604,ASEAN talks end on energy-security,18,0,0,0,11,4,0
105,605,"Iraqi death toll exceeded 34,000 in 2006, United Nations says",-89,27,17,33,0,96,22
106,606,Israel intensifies military flights over Lebanon,-80,29,15,60,0,40,8
107,607,New gadgets galore at tech show,70,0,0,0,43,0,27
108,608,Another death at Georgia Aquarium,-76,0,0,17,0,79,6
109,609,US to urge Nato Afghan spring offensive,-64,42,14,54,0,33,0
110,610,UK letter bombs may be from extremist drivers,-76,44,8,78,0,38,8
111,611,Asia seeks breakthrough on North Korea,-17,17,0,14,13,0,22
112,612,Federer overcomes a ragged start,39,0,0,0,47,2,5
113,613,Rowdy fans ejected from the Open,-36,21,17,4,5,17,4
114,614,Terai protesters hail 'historic' victory over government,13,28,0,3,36,0,26
115,615,Anger at release of two held over beheading plot,-68,70,25,18,0,22,10
116,616,Bush adamant on troops to Iraq,-67,58,16,20,0,35,0
117,617,Bebe Neuwirth gets to 'wiggle again',35,5,0,0,43,0,24
118,618,Beckham to L.A.: For the game not fame,39,0,0,0,20,0,16
119,619,Sleep more to fight childhood obesity,31,0,2,12,8,0,26
120,620,Abbas rejects temporary state,-32,26,9,11,2,31,18
121,621,Investigation of child porn site hits 77 nations,-56,54,73,8,4,39,17
122,622,Sleuths close in on Odysseus home,27,0,0,3,23,2,26
123,623,Variety: Johnny Depp to make movie of spy poisoning,41,0,2,8,13,4,19
124,624,Ice storm cripples central U.S.,-62,23,4,46,0,44,14
125,625,Park stars as United maintain lead,36,0,0,0,43,0,9
126,626,Prehistoric Romeo and Juliet discovered,67,5,0,0,62,16,72
127,627,India's famous landmark gets facelift,59,0,0,0,50,0,26
128,628,Joseph Wambaugh's new start,35,0,0,0,33,0,1
129,629,Participant in water-drinking contest dies,-83,1,0,3,0,94,30
130,630,Apple drops bombshell with iPhone,47,0,0,7,37,11,38
131,631,Bollywood's 'Brangelina' engaged,76,0,0,0,71,1,24
132,632,"Shiite fighters arrested in crackdown, Iraq says",-3,34,16,44,27,30,17
133,633,"Rio De Janeiro journal: drawing lines across the sand, between classes",-22,16,14,2,2,26,4
134,634,Models' health guidelines -- will they help?,19,0,0,7,11,6,24
135,635,Stepping back in time at ski resort,31,0,0,0,33,1,17
136,636,Test cricketer jailed over killing,-57,32,14,22,8,37,8
137,637,Walnuts 'combat unhealthy fats',34,0,4,1,37,11,35
138,638,Apple to Vista upgraders: 'Wait',-11,0,0,0,1,13,22
139,639,Injured Sarwan to miss one-dayers,-53,7,4,2,0,50,8
140,640,Firms on alert for letter bombs,-71,17,9,71,0,16,16
141,641,Studios sign off on movie downloads,-17,3,0,5,6,11,16
142,642,Asif returns with four-wicket haul,35,0,0,0,43,0,12
143,643,"Bush authorized Iranians' arrest in Iraq, Rice says",-63,47,33,19,0,38,17
144,644,Porn ring scandal reaches Australia,-81,46,60,6,0,43,20
145,645,Deputy health minister arrested in US-Iraqi raid,-68,16,8,17,0,58,19
146,646,Senator Carl Krueger thinks iPods can kill you,-63,6,0,33,0,25,51
147,647,"Finally, Senate okays anti-terror bill Manila",26,3,0,17,42,12,4
148,648,Somalia declares state of emergency,-60,10,0,80,0,29,31
149,649,Matt shines with his Alpine finish,64,0,0,0,72,0,3
150,650,BP CEO Browne to step down in June,-29,6,3,0,13,37,7
151,651,An iPhone by any other name? Surely not,2,0,3,0,13,0,33
152,652,Life in Gaza steadily worsens,-72,17,13,53,0,70,0
153,653,The energy challenge | Exotic visions: how to cool a planet (maybe),30,5,3,26,18,17,36
154,654,"Easy ways to (really) save $400,000",38,0,0,0,45,0,31
155,655,Shareholders sue Apple,-51,32,6,0,0,20,10
156,656,Findings: Can humanity survive? Want to bet on it?,-30,1,0,42,1,10,27
157,657,Iran steps up production of weapons-grade uranium,-81,28,10,79,0,27,23
158,658,Rig-threat cargo ship towed ashore,-27,0,0,37,10,19,11
159,659,Palestinians say clashes hurt their cause,-44,32,2,26,0,46,8
160,660,Male sweat can raise hormones,19,0,7,0,8,0,62
161,661,Vital Signs: Hazards: Antidepressant linked to fractures in older people,-45,5,0,26,0,34,55
162,662,Peron held over '70s rights abuses,-31,31,25,8,13,45,8
163,663,Space life search turns to TV,19,0,0,0,18,0,33
164,664,"Super Bowl ads of cartoonish violence, perhaps reflecting toll of war",-41,16,15,25,15,45,27
165,665,YouTube told to drop celeb sex video,-22,7,23,9,14,15,24
166,666,Beckham y Posh and more athlete-celebrity couples,34,0,0,0,38,0,0
167,667,City sets up ice storm shelters,14,4,0,55,24,17,3
168,668,Libby prosecutors await judge's rulings,-10,0,0,16,0,19,1
169,669,Review: 'Alpha Dog' misses the point,-18,0,3,0,0,17,4
170,670,Republicans plan to block Iraq debate,-57,60,17,0,0,37,7
171,671,Mixed reaction to China's Africa push,-17,10,2,6,0,2,24
172,672,Snowed in the Canadian Rockies,9,0,0,8,21,11,6
173,673,"Skip the showers: male sweat turns women on, study says",21,0,12,0,12,0,69
174,674,Gently Weeps' lyrics sheet up for sale,31,0,0,1,44,8,15
175,675,Canete wins inaugural Joburg Open,60,0,0,0,70,0,7
176,676,Rights group halts violent Nepal strikes,31,25,5,36,46,22,11
177,677,Real suffer Carlos injury setback,-49,4,0,7,0,47,13
178,678,Astronaut may have buckled under stress,-43,0,0,21,0,43,21
179,679,Gunmen abduct Filipino woman in Nigeria,-79,32,15,58,0,51,16
180,680,NFL team's fan of the year: 'Flag Lady',54,0,0,0,50,0,21
181,681,No 10 rejects police state claim,-23,11,0,3,0,11,22
182,682,Malaysian AirAsia X to fly in July,44,0,0,0,39,0,14
183,683,10 kidnapped at Nigeria oil base,-78,19,7,69,0,46,8
184,684,Guy sweat is babe magnet,28,0,6,0,29,0,69
185,685,Township tourism booming in South Africa,75,0,0,0,82,0,32
186,686,'Alpha Dog' misses the point,-23,0,3,0,0,17,18
187,687,Iran leader pays Nicaragua a visit,8,3,1,13,20,14,26
188,688,"'Grey's,' 'Pirates' lead People's Choice",37,0,0,0,38,0,6
189,689,Terror network,-84,9,0,87,0,17,0
190,690,Now it's official: Iraq's a mess,-81,27,39,23,2,62,19
191,691,Snow brings travel misery to England,-65,3,5,28,3,63,11
192,692,James Brown's 5-year-old son left out of will,-48,7,1,16,0,33,46
193,693,Two men killed by London tube train,-93,6,5,41,0,79,20
194,694,US millions fail to buy influence in deadly Gaza power play,-67,18,18,23,6,43,13
195,695,PLO ministers agreed upon in Mecca,47,0,0,8,37,0,12
196,696,Squadron apologies over 'friendly-fire' death,-53,13,35,26,0,49,13
197,697,New Orleans violence sparks tourism fears,-78,23,0,75,0,32,8
198,698,Friendly fire pilot 'experienced',-48,3,7,32,0,14,26
199,699,SPACE.com: Black hole triplets spotted,22,0,0,5,4,0,62
200,700,Vaccines: Mandate or choice?,0,0,0,5,1,1,6
201,701,"Congolese soldiers riot, loot over pay issue",-77,55,17,46,0,43,0
202,702,Commodities lead Europe higher,60,0,0,0,64,0,16
203,703,Ingredient in male sweat raises women's hormone levels,36,0,12,0,17,0,54
204,704,Goetschl ends Austrian win drought,60,0,0,0,56,0,6
205,705,Doomsday Clock ticking away,-26,0,0,43,19,16,0
206,706,Troops massing around Somali town,-77,22,0,88,0,27,0
207,707,Tariq Ramadan has an identity issue,-3,0,0,2,0,2,32
208,708,Peretz orders IDF to respond with force to north border attacks,-75,52,7,50,0,27,9
209,709,Trains crash near Thai resort town,-89,2,0,62,0,90,10
210,710,"Hamas, Fatah return to unity gov't talks in Mecca",32,2,0,4,37,6,25
211,711,Pats' fourth-quarter rally finishes Chargers,32,0,0,0,35,5,6
212,712,7 Die As US Helicopter Crashes in Iraq,-93,12,4,41,0,94,4
213,713,Millionaire secret Santa dies,-82,0,0,0,2,75,14
214,714,Morrissey may cheer up Eurovision,58,0,0,2,61,0,10
215,715,Christian values guide Dungy and the Colts,31,0,0,0,27,0,13
216,716,Israeli woman's tirade spurs PM outrage,-75,71,29,13,0,13,2
217,717,Passing exchange becomes political flashpoint,-17,4,0,4,0,3,0
218,718,Police probe 2 church fires half mile apart,-58,0,2,48,0,50,6
219,719,Italy to try US soldier for agent's Iraq death,-62,64,7,2,8,38,10
220,720,Depp to star in spy poisoning film,31,0,0,10,35,10,19
221,721,'24's' Jack Bauer returns,39,0,0,0,40,0,3
222,722,US Airways boosts bid for Delta,28,0,0,0,5,5,40
223,723,"Even before its release, world climate report is criticized as too optimistic",-52,28,17,33,0,22,15
224,724,"Second hanging also went awry, Iraq tape shows",-86,19,38,27,0,54,5
225,725,Howell takes one shot lead in Sony Open,38,0,0,0,47,0,8
226,726,Psych checks reviewed after astronaut's crack-up,-28,2,0,17,2,44,31
227,727,"Pap Test, a mainstay against cervical cancer, may be fading",-29,3,0,35,12,36,45
228,728,Martins leads Newcastle fightback,31,4,0,0,29,1,6
229,729,PS3 pricey but impressive,38,0,1,0,44,0,12
230,730,Pluto's revenge: 'Word of the Year' award,34,4,1,3,49,3,4
231,731,European Space Agency,5,0,0,0,2,0,0
232,732,Hackers strike at key Internet servers,-71,38,23,36,0,18,22
233,733,Hussein co-defendants executed,-70,13,19,23,5,62,2
234,734,Memo from Frankfurt: Germany relives 1970s terror as 2 seek release from jail,-87,35,15,76,0,33,5
235,735,Blissing out in Ojai,63,0,0,0,63,0,0
236,736,"Houston, she's got some problems",-48,0,0,8,0,33,15
237,737,Amazon.com has 'best ever' sales,84,0,0,0,82,0,18
238,738,Hackers attack root servers,-78,53,26,36,0,16,19
239,739,Video games can improve your vision,48,0,0,1,42,0,51
240,740,Internet attacked! (Did anyone notice?),-45,11,17,35,0,7,54
241,741,"In Washington, contractors take on biggest role ever",32,0,1,0,25,0,29
242,742,Floods force Malaysia evacuations,-88,5,1,77,0,79,3
243,743,"On MySpace, girls seek friends, boys flirt",8,0,20,4,12,1,25
244,744,Tests of drug to block H.I.V. infection are halted over safety,-23,11,2,48,7,39,31
245,745,Zoo polar bear to have root canal,-6,0,0,17,10,26,26
246,746,Europe take big Royal Trophy lead,63,0,0,0,55,0,12
247,747,Israel to install cameras to show live Mughrabi footage,1,1,4,8,23,12,17
248,748,'We lit our last candle yesterday',-36,2,0,10,0,32,0
249,749,Google buys YouTube for $1.65bn,22,0,0,0,13,0,43
250,750,PSP number one Sony platform in Japan,38,0,0,0,32,0,15
251,751,England include Giles in WC squad,20,0,0,0,21,0,1
252,752,Beckham 'won't play again for Real',-43,0,7,0,0,29,18
253,753,Eight years for Damilola killers,-57,38,23,29,35,43,3
254,754,PC World editor slain at California home,-86,14,10,51,0,77,4
255,755,Hands on 'Doomsday Clock' move forward,-27,12,7,36,17,20,10
256,756,Zach Braff says he has 'mild depression',-29,0,0,3,0,32,8
257,757,Investigation of child porn site hits 77 nations USA Today,-82,46,58,28,0,47,32
258,758,Science panel calls global warming unequivocal,-49,18,0,48,17,45,6
259,759,News Baby pandas! Baby pandas! Baby pandas!,73,0,0,3,70,2,29
260,760,Get ready for the earnings,64,0,0,0,59,0,0
261,761,Germany agonizes over a brain drain,-63,9,0,17,0,51,2
262,762,Iran and Nicaraguan leaders meet,24,3,2,17,22,10,12
263,763,Secret hotels in Irish countryside,4,0,0,2,3,0,43
264,764,Fine wines in British Columbia,36,0,0,0,19,0,3
265,765,Philippine president welcomes Senate approval of anti-terror bill ,60,2,0,10,54,4,3
266,766,"Small jet crashes on takeoff, killing 2",-92,1,0,52,0,94,3
267,767,"Bigger, more aggressive rats infesting UK",-86,4,54,56,0,9,8
268,768,Travel+Leisure: Next island hot spot: St. Lucia,65,0,0,0,57,0,0
269,769,Real Mallorca rock leaders Sevilla,31,0,0,0,32,0,0
270,770,Iran's boast on uranium enrichment is put to test,-43,8,5,62,0,3,18
271,771,"Personal health: for teenagers, the car is the danger zone",-50,0,2,47,0,21,27
272,772,Bird watchers flock to see rare owl,63,0,0,0,49,0,37
273,773,Eye on cosmos is lost to short circuit on hubble,-71,2,0,4,1,59,8
274,774,Too young for this: facing cancer under 40,-82,19,0,39,0,80,22
275,775,Unilever group names new chairman,29,0,0,2,29,0,6
276,776,Minister slams airlines on carbon,-22,31,5,6,0,7,0
277,777,Rare optimism as North Korea talks reach crossroads,42,2,3,5,52,29,4
278,778,Man beheaded in southern Thailand,-88,4,23,47,0,88,9
279,779,China's 'nightmare scenario',-64,0,0,65,0,0,16
280,780,Annual diving contest in South Korea proves a chilly challenge,0,0,0,10,2,0,17
281,781,Blair says he regrets delays in British soldier's inquest,-54,3,5,1,10,47,0
282,782,Iraqi forces detain official suspected in Shia conspiracy,-55,38,3,39,31,2,7
283,783,Wellcome awards anti-fat research,56,2,2,2,49,0,13
284,784,Fingers crossed for North Korea,9,1,1,8,13,6,5
285,785,"No intention of war with Iran, US says",29,4,3,9,30,1,7
286,786,What Newsom faces in aftermath of scandal,-40,10,13,20,0,10,2
287,787,Maggie Gyllenhaal's Globes babysitter: Mom,35,0,0,0,33,0,4
288,788,"As inflation soars, Zimbabwe economy plunges",-64,8,7,12,0,58,0
289,789,Pledge: I was abused in frat hazing,-73,22,48,27,0,34,0
290,790,Experts: Fear likely shackled boy,-66,0,0,57,0,26,13
291,791,What's behind the chopper crashes in Iraq,-54,9,0,51,0,38,8
292,792,"Freed Muslim terror suspect says Britain is ""police state""",-77,17,21,61,0,12,0
293,793,Blair apologises over friendly fire inquest,-2,6,1,12,12,43,4
294,794,Depp 'to make Litvinenko movie',40,0,1,3,36,1,6
295,795,Why gas follows oil up but not down,-9,7,7,5,0,6,32
296,796,"'Cravings' still there, sez Tara",10,0,0,0,17,8,5
297,797,Bill would strip convicted legislators of pensions,-26,26,4,4,2,27,6
298,798,Bears watch as lead slips away,-39,0,4,0,0,36,0
299,799,"In clue to addiction, brain injury halts smoking",-7,0,0,11,4,15,47
300,800,"In rigorous test, talk therapy works for panic disorder",43,0,0,26,55,4,34
301,801,Rice: U.S. won't pull plug on Iraq,2,8,3,0,16,7,4
302,802,"On road to Kosovo independence, a warning: go slow",-31,9,0,32,2,9,1
303,803,Mistrial for officer who refused to go to Iraq,-22,21,4,13,9,27,6
304,804,Rebels to join Nepal parliament,-9,24,0,15,20,0,38
305,805,"EMI warns on profits, boss goes",-46,5,2,20,0,17,6
306,806,Subway collapse caught on camera,-51,0,0,48,0,54,23
307,807,Stinky but true: men's sweat is made for love,25,0,18,2,22,0,57
308,808,"POLITICS-US: reprieve for officer who denounced ""Immoral War""",0,12,14,13,31,28,13
309,809,Hunters stalk world's tallest trees,-27,14,0,10,14,30,10
310,810,Fuel spill may lead to missing jet,-35,4,0,47,7,34,12
311,811,"Sri Lanka floods displace 60,000",-84,14,0,39,0,80,3
312,812,"Justin Timberlake, Cameron Diaz announce split",-72,0,0,12,0,76,9
313,813,Iran to hit US interests if attacked,-82,42,3,54,0,22,7
314,814,Israel says hopes to keep Lebanon border calm,50,10,4,20,39,4,15
315,815,Cisco sues Apple over iPhone name,-56,48,8,10,0,11,19
316,816,Two Palestinians killed near fence,-87,20,7,38,0,87,3
317,817,EarthLink CEO dies at age 49,-85,0,0,13,0,88,17
318,818,"A star dies, a family feud is born",-54,12,20,15,18,62,4
319,819,"Carter was a disaster, said Ford",-66,40,25,0,0,36,19
320,820,Super Bowl MVP Manning insists he's one of the guys,15,0,0,0,9,0,6
321,821,Personal health: the importance of knowing what the doctor is talking about,13,0,0,14,0,9,6
322,822,Israel's Peretz urges halt to contentious Jerusalem construction,-30,34,7,19,0,24,16
323,823,Peter Jackson will never work for me again,-54,38,22,0,0,31,9
324,824,U.S. keeps Iran options open,15,11,8,19,28,4,9
325,825,European shares hit fresh highs,52,0,0,5,59,0,15
326,826,"For women, nothing's like the smell of men's sweat",26,0,19,0,8,0,63
327,827,Looking beyond the iPhone,15,0,0,4,11,0,14
328,828,Freed kidnap suspect: my terror at police raid,-74,28,0,78,8,17,15
329,829,"Far away, Super Bowl's losers will be champs",44,0,0,0,56,15,3
330,830,Woman dies after water binge,-89,9,3,21,0,92,36
331,831,Mancuso sparks U.S. celebrations,73,0,0,0,72,0,17
332,832,ASEAN urges North Korea resolution,6,5,0,17,13,0,9
333,833,Late penalty costs Roma the points,-36,2,0,7,0,27,12
334,834,Mistrial declared in teacher-student rape case,-64,34,46,15,0,47,33
335,835,'Bookworm Adventures' wordsmith's joy,72,0,0,0,76,0,5
336,836,Kylie's love split,-54,3,0,6,5,56,3
337,837,iPod good for video games,55,0,0,0,37,0,18
338,838,Review: virtual 'American Idol' hits right notes,35,0,0,0,38,0,17
339,839,Leo battles himself,17,0,0,6,27,4,19
340,840,Attorneys point fingers in fight between Ryan O'Neal and son,-59,46,15,24,0,27,4
341,841,John Grisham set for court drama,-52,14,5,21,0,18,20
342,842,"Bill Gates and Craig Mundie: vista is Secure, employees are not",-13,8,0,9,0,9,22
343,843,Iraqis fault delayed U.S. plan in attack,-54,34,19,29,2,17,24
344,844,Boy Scouts blamed for starting wildfire,-56,30,7,40,0,17,18
345,845,China urges UN action on N Korea,-32,26,3,31,0,0,12
346,846,"Scorpion on a plane, a pantful of pain",-61,6,2,49,0,13,14
347,847,Male sweat boosts women's hormone levels,26,0,11,0,17,0,54
348,848,Mbeki on the big visit from the Chinese,25,0,0,3,18,0,19
349,849,French right nominates Sarkozy,17,0,0,13,25,5,7
350,850,"Israeli, Lebanese clash on border",-75,38,10,49,0,26,4
351,851,North Korea claims nuclear test,-81,29,3,63,0,19,24
352,852,Talks begin on Somalia peacekeepers,60,7,1,12,57,12,14
353,853,Action games improve eyesight,66,0,0,0,33,0,47
354,854,"A small part of the brain, and its profound effects",8,0,0,12,1,6,24
355,855,IDF shells Lebanese Army positions across northern border,-58,17,11,53,0,23,4
356,856,Thailand: missing 25 years after taking wrong bus,-48,5,0,11,0,48,40
357,857,Ballerina sparks anti-fascist row,-40,34,17,31,17,16,24
358,858,Internet boom in China is built on virtual fun,70,0,0,4,63,0,32
359,859,Review: PS3 pricey but impressive,56,0,0,0,41,5,9
360,860,Machinery orders drive Asia upward,61,0,0,0,52,0,15
361,861,'Lost's' Fox: 'I'm a liar and a cheat',-64,20,47,14,0,18,22
362,862,Russia to strengthen its military muscle,-57,8,0,60,8,14,14
363,863,"At Libby trial, Russert of NBC gives and gets",-12,0,0,12,0,7,7
364,864,North Korea ready to discuss first steps to nuclear resolution,33,3,1,38,47,2,14
365,865,Victim: Gunman bought drink after shooting,-60,18,26,26,0,30,46
366,866,Ferrer victorious in Spanish duel,70,2,0,15,70,1,13
367,867,UK workers on alert for letter bombs,-69,6,4,92,0,18,17
368,868,Did NASA accidentally kill life on Mars?,-62,22,17,14,0,38,62
369,869,"New vaccine for cervical cancer could prove useful in men, too",53,0,0,21,49,17,31
370,870,Search on for victims of subway collapse,-62,3,0,31,3,88,1
371,871,Human error caused Helios crash,-76,15,4,28,0,74,0
372,872,US to prod NATO allies for more troops to defeat Taliban,-39,20,15,47,0,21,0
373,873,Microsoft supports OpenID authentication standard,28,0,0,0,22,0,6
374,874,No buyer in sight for Napster,-31,0,0,7,0,25,2
375,875,"Briefly: preloaded iPods, Wal-Mart movies, Apple stores",11,0,0,0,9,0,2
376,876,China says rich countries should take lead on global warming,-4,12,14,10,10,20,3
377,877,North Korea may begin to dismantle nukes,56,2,0,29,52,2,17
378,878,Tracking down hi-tech crime,40,2,12,26,38,13,7
379,879,Barack Obama formally announces bid for president,19,0,2,0,21,10,4
380,880,Kidnappers seize two in Nigeria,-73,28,17,68,0,38,4
381,881,"Indonesia may sell, not give, bird flu virus to scientists",-49,17,20,35,0,29,23
382,882,"Attack video saddens ""friendly fire"" widow",-67,13,11,16,0,80,0
383,883,Europe retain trophy with big win,79,0,0,0,75,0,11
384,884,Cutting edge accessories for digital music players,48,0,0,0,37,0,17
385,885,Ice storm descends on central U.S.,-43,3,0,58,10,13,7
386,886,Snow brings travel misery to England,-70,4,13,27,0,65,4
387,887,"Indonesia flood forces 340,000 from homes",-82,2,0,37,0,89,16
388,888,Iraqi health minister seized in raid ,-31,24,9,30,15,37,38
389,889,Ice storm brings chaos in U.S.,-80,6,2,57,0,35,14
390,890,Stinky flower mystery solved,45,0,5,0,39,1,19
391,891,Congressman rebukes U.S. allies for lack of support in Afghanistan ,-69,61,15,4,0,23,0
392,892,Roddick overcomes Federer in final,54,0,0,0,29,0,23
393,893,Prehistoric Romeo and Juliet discovered,48,0,0,5,53,3,44
394,894,Donald and Goydos share Sony lead,41,0,0,0,32,0,5
395,895,U.S. and Iraqis are wrangling over war plans,-69,32,0,56,0,25,17
